"Año","Trimestre","Departamento","VIS - Policía Nacional","VIS - Ejército Nacional","VIS - Fuerza Aérea Colombiana","VIS - Armada Nacional","VIS - Otros*","No VIS - Policía Nacional","No VIS - Ejército Nacional","No VIS - Fuerza Aérea Colombiana","No VIS - Armada Nacional","No VIS - Otros*"
"2.023","2","TOLIMA","64","126","7","8","0","7","13","4","0","0"
"2.023","2","VALLE DEL CAUCA","124","82","1","13","0","8","5","2","0","0"
"2.023","2","VICHADA","1","0","0","2","0","0","0","0","0","0"
"2.023","3","AMAZONAS","2","2","0","0","0","0","0","0","0","0"
"2.023","3","ANTIOQUIA","119","154","1","11","0","6","11","0","0","0"
"2.023","3","ARAUCA","0","3","0","0","0","0","0","0","0","0"
"2.023","3","ATLÁNTICO","69","30","4","30","0","1","2","1","5","0"
"2.023","3","BOGOTÁ, D.C.","116","82","15","14","0","22","24","11","11","2"
"2.023","3","BOLÍVAR","48","12","0","33","0","2","0","0","5","0"
"2.023","3","BOYACÁ","54","42","0","2","0","3","7","2","0","0"
"2.023","3","CALDAS","41","15","3","2","0","1","1","0","1","0"
"2.023","3","CAQUETÁ","6","42","0","0","0","0","0","0","0","0"
"2.023","3","CASANARE","8","22","0","0","0","0","0","0","0","0"
"2.023","3","CAUCA","36","53","0","1","0","1","3","0","0","0"
"2.023","3","CESAR","29","43","1","2","0","1","1","0","0","0"
"2.023","3","CHOCÓ","7","5","0","0","0","0","0","0","0","0"
"2.023","3","CÓRDOBA","38","49","0","18","0","1","1","0","0","0"
"2.023","3","CUNDINAMARCA","90","86","10","14","0","7","11","0","2","0"
"2.023","3","GUAINÍA","1","0","0","0","0","0","0","0","0","0"
"2.023","3","GUAVIARE","5","2","0","0","0","0","0","0","0","0"
"2.023","3","HUILA","31","66","1","7","0","3","3","0","0","0"
"2.023","3","LA GUAJIRA","7","8","0","0","0","0","0","0","0","0"
"2.023","3","MAGDALENA","27","15","0","3","0","1","2","1","0","0"
"2.023","3","META","85","60","7","8","0","3","10","3","1","0"
"2.023","3","NARIÑO","24","29","0","1","0","3","3","0","0","0"
"2.023","3","NORTE DE SANTANDER","56","60","0","9","0","2","3","0","3","0"
"2.023","3","PUTUMAYO","6","15","0","1","0","0","0","0","0","0"
"2.023","3","QUINDIO","39","31","1","3","0","0","2","0","0","0"
"2.023","3","RISARALDA","38","24","0","7","0","2","3","0","1","0"
"2.023","3","SANTANDER","78","50","1","8","0","7","10","0","2","0"
"2.023","3","SUCRE","31","20","0","30","0","0","1","0","1","0"
"2.023","3","TOLIMA","59","107","6","6","0","3","10","1","2","0"
"2.023","3","VALLE DEL CAUCA","102","93","8","9","0","3","5","2","1","0"
"2.023","3","VICHADA","1","0","0","0","0","0","0","0","0","0"
"2.023","4","AMAZONAS","2","1","0","0","0","0","0","0","0","0"
"2.023","4","ANTIOQUIA","127","120","7","3","0","3","9","2","0","0"
"2.023","4","ARAUCA","1","3","0","0","0","0","0","0","0","0"
"2.023","4","ATLÁNTICO","61","31","3","17","0","2","1","0","2","0"
"2.023","4","BOGOTÁ, D.C.","174","86","10","12","1","25","39","13","10","1"
"2.023","4","BOLÍVAR","35","10","0","36","0","0","1","2","3","0"
"2.023","4","BOYACÁ","55","37","3","1","0","2","8","0","0","0"
"2.023","4","CALDAS","48","15","2","3","0","3","2","0","0","0"
"2.023","4","CAQUETÁ","6","39","0","3","0","0","1","0","0","0"
"2.023","4","CASANARE","15","21","1","0","0","1","2","1","0","0"
"2.023","4","CAUCA","30","43","0","0","0","1","1","0","0","0"
"2.023","4","CESAR","37","52","0","2","0","2","0","0","0","0"
"2.023","4","CHOCÓ","5","5","0","0","0","0","0","0","0","0"
"2.023","4","CÓRDOBA","46","41","0","22","0","4","4","0","0","0"
"2.023","4","CUNDINAMARCA","68","61","13","11","0","6","10","3","3","0"
"2.023","4","GUAINÍA","1","2","0","0","0","0","0","0","0","0"
"2.023","4","GUAVIARE","3","2","0","0","0","0","0","0","0","0"
"2.023","4","HUILA","45","71","2","3","0","0","1","0","0","0"
"2.023","4","LA GUAJIRA","9","12","0","1","0","0","0","0","0","0"
"2.023","4","MAGDALENA","24","15","0","4","0","1","1","0","0","0"
"2.023","4","META","63","61","4","3","0","3","6","1","0","0"
"2.023","4","NARIÑO","30","27","1","2","0","0","4","0","0","0"
"2.023","4","NORTE DE SANTANDER","56","61","0","3","0","2","2","1","0","0"
"2.023","4","PUTUMAYO","5","11","0","3","0","0","0","0","0","0"
"2.023","4","QUINDIO","37","30","1","4","0","3","2","0","0","0"
"2.023","4","RISARALDA","55","13","0","5","0","1","0","2","0","0"
"2.023","4","SANTANDER","76","56","0","11","0","2","4","0","2","1"
"2.023","4","SUCRE","27","12","0","26","0","0","1","0","0","0"
"2.023","4","TOLIMA","71","105","6","0","0","4","11","1","1","0"
"2.023","4","VALLE DEL CAUCA","88","61","13","17","0","7","5","1","1","0"
"2.023","4","VICHADA","1","1","0","0","0","0","0","0","0","0"
"2.024","1","AMAZONAS","2","0","0","0","0","0","0","0","0","0"
"2.024","1","ANTIOQUIA","124","97","4","7","0","6","9","1","1","0"
"2.024","1","ARAUCA","1","2","0","0","0","0","0","0","0","0"
"2.024","1","ATLÁNTICO","69","20","4","28","0","2","1","1","3","0"
"2.024","1","BOGOTÁ, D.C.","147","57","16","10","1","31","30","13","7","1"
"2.024","1","BOLÍVAR","24","11","1","32","0","0","0","0","5","0"
"2.024","1","BOYACÁ","64","15","0","3","0","3","8","1","0","0"
"2.024","1","CALDAS","43","13","5","1","0","2","2","0","0","0"
"2.024","1","CAQUETÁ","7","28","0","0","0","0","0","0","0","0"
"2.024","1","CASANARE","10","12","2","0","0","0","3","0","0","0"
"2.024","1","CAUCA","31","29","1","0","0","0","3","0","0","0"
"2.024","1","CESAR","33","22","0","1","0","0","1","0","0","0"
"2.024","1","CHOCÓ","6","4","0","0","0","0","0","0","0","0"
"2.024","1","CÓRDOBA","41","28","1","13","0","3","3","0","0","0"
"2.024","1","CUNDINAMARCA","56","41","13","6","0","5","10","2","1","0"
"2.024","1","GUAINÍA","1","0","0","0","0","0","0","0","0","0"
"2.024","1","GUAVIARE","4","0","0","0","0","0","0","0","0","0"
"2.024","1","HUILA","49","48","3","2","0","3","6","0","0","0"
"2.024","1","LA GUAJIRA","11","7","0","1","0","0","0","0","0","0"
"2.024","1","MAGDALENA","27","11","0","3","0","1","0","0","0","0"
"2.024","1","META","97","42","5","2","0","2","8","2","0","0"
"2.024","1","NARIÑO","12","18","0","0","0","2","1","0","0","0"
"2.024","1","NORTE DE SANTANDER","63","36","0","3","0","6","2","0","0","0"
"2.024","1","PUTUMAYO","3","7","0","1","0","0","0","0","0","0"
"2.024","1","QUINDIO","27","19","0","2","0","3","2","0","1","0"
"2.024","1","RISARALDA","34","7","0","1","0","5","2","1","0","0"
"2.024","1","SANTANDER","98","46","1","14","0","6","13","1","2","0"
"2.024","1","SUCRE","28","10","0","18","0","1","0","0","1","0"
"2.024","1","TOLIMA","82","86","12","4","0","7","10","1","0","0"
"2.024","1","VALLE DEL CAUCA","92","61","2","8","0","5","5","1","3","0"
"2.024","1","VICHADA","0","0","0","1","0","0","0","0","0","0"
"2.024","2","AMAZONAS","0","1","0","0","0","0","0","0","0","0"
"2.024","2","ANTIOQUIA","125","126","2","10","0","4","8","1","1","0"
"2.024","2","ARAUCA","1","4","0","0","0","0","0","0","0","0"
"2.024","2","ATLÁNTICO","102","27","3","35","0","1","1","0","2","0"
"2.024","2","BOGOTÁ, D.C.","132","60","10","9","1","26","35","12","5","2"
"2.024","2","BOLÍVAR","37","4","0","36","0","2","0","0","4","0"
"2.024","2","BOYACÁ","40","26","1","3","0","7","7","1","1","0"
"2.024","2","CALDAS","36","9","3","0","0","3","1","1","0","0"
"2.024","2","CAQUETÁ","11","39","0","0","0","0","0","0","0","0"
"2.024","2","CASANARE","14","18","0","2","0","2","4","0","0","0"
"2.024","2","CAUCA","36","30","0","2","0","1","1","0","0","0"
"2.024","2","CESAR","38","29","1","0","0","1","0","0","0","0"
"2.024","2","CHOCÓ","5","2","0","0","0","0","0","0","0","0"
"2.024","2","CÓRDOBA","59","35","0","14","0","1","0","0","0","0"
"2.024","2","CUNDINAMARCA","89","53","12","10","0","10","13","4","2","2"
"2.024","2","GUAVIARE","6","0","0","1","0","0","1","0","0","0"
"2.024","2","HUILA","36","48","3","6","0","2","8","1","1","0"
"2.024","2","LA GUAJIRA","6","5","0","1","0","0","0","0","0","0"
"2.024","2","MAGDALENA","35","16","1","1","0","1","0","0","0","0"
"2.024","2","META","96","51","4","2","1","6","8","2","0","0"
"2.024","2","NARIÑO","26","32","0","0","0","1","3","1","0","0"
"2.024","2","NORTE DE SANTANDER","51","29","0","3","0","3","3","0","1","0"
"2.024","2","PUTUMAYO","7","11","0","2","0","0","0","0","0","0"
"2.024","2","QUINDIO","22","22","1","2","0","2","4","0","0","0"
"2.024","2","RISARALDA","34","15","0","1","0","2","1","0","0","0"
"2.024","2","SANTANDER","78","59","1","7","0","6","5","1","0","0"
"2.024","2","SUCRE","47","10","0","25","0","0","1","0","1","0"
"2.024","2","TOLIMA","59","83","4","4","0","9","8","6","1","0"
"2.024","2","VALLE DEL CAUCA","90","59","7","14","0","9","7","2","1","0"
"2.024","3","AMAZONAS","0","1","0","0","0","0","0","0","0","0"
"2.024","3","ANTIOQUIA","164","100","0","6","0","12","7","1","1","0"
"2.024","3","ARAUCA","2","3","0","1","0","0","0","0","0","0"
"2.024","3","ATLÁNTICO","117","21","4","34","0","6","3","1","0","0"
"2.024","3","BOGOTÁ, D.C.","225","66","16","13","0","36","42","15","9","0"
"2.024","3","BOLÍVAR","46","9","0","49","0","1","0","0","1","0"
"2.024","3","BOYACÁ","90","27","1","5","0","3","15","0","0","0"
"2.024","3","CALDAS","51","12","3","2","0","4","1","2","0","0"
"2.024","3","CAQUETÁ","19","35","0","0","0","0","3","0","0","0"
"2.024","3","CASANARE","7","25","1","2","0","2","0","1","0","0"
"2.024","3","CAUCA","40","29","1","4","0","0","1","0","0","0"
"2.024","3","CESAR","60","53","0","3","0","1","2","1","0","0"
"2.024","3","CHOCÓ","11","7","0","0","0","1","0","0","0","0"
"2.024","3","CÓRDOBA","63","46","0","17","0","4","1","0","0","0"
"2.024","3","CUNDINAMARCA","81","69","13","8","0","5","11","0","1","0"
"2.024","3","GUAVIARE","1","1","0","0","0","0","0","0","0","0"
"2.024","3","HUILA","61","62","1","3","0","5","4","0","0","0"
"2.024","3","LA GUAJIRA","11","9","0","1","0","1","0","0","0","0"
"2.024","3","MAGDALENA","45","18","0","5","0","5","0","0","0","0"
"2.024","3","META","94","48","7","7","0","3","5","1","1","0"
"2.024","3","NARIÑO","34","22","0","0","0","4","6","0","0","0"
"2.024","3","NORTE DE SANTANDER","81","53","0","3","0","3","5","1","1","0"
"2.024","3","PUTUMAYO","7","12","0","1","0","0","0","0","0","0"
"2.024","3","QUINDIO","37","21","0","0","0","5","3","2","1","0"
"2.024","3","RISARALDA","48","22","1","5","0","5","4","0","1","0"
"2.024","3","SANTANDER","106","37","2","5","0","2","10","1","3","0"
"2.024","3","SUCRE","60","11","0","35","0","2","1","0","4","0"
"2.024","3","TOLIMA","100","104","8","6","0","8","12","1","0","0"
"2.024","3","VALLE DEL CAUCA","149","57","6","18","0","6","10","3","2","0"
"2.024","3","VICHADA","1","0","0","1","0","0","0","0","0","0"
"2.024","4","AMAZONAS","1","0","0","0","0","0","0","0","0","0"
"2.024","4","ANTIOQUIA","128","84","2","7","0","5","10","3","1","0"
"2.024","4","ARAUCA","4","5","0","0","0","0","0","0","0","0"
"2.024","4","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","1","0","0","0","0","0","0","0","0","0"
"2.024","4","ATLÁNTICO","131","21","2","19","0","4","3","0","2","0"
"2.024","4","BOGOTÁ, D.C.","167","53","17","25","0","43","37","17","8","0"
"2.024","4","BOLÍVAR","50","7","0","37","0","3","1","0","6","0"
"2.024","4","BOYACÁ","65","24","1","7","0","3","8","3","1","0"
"2.024","4","CALDAS","46","11","1","2","0","6","3","1","0","0"
"2.024","4","CAQUETÁ","15","37","1","2","0","1","0","0","0","0"
"2.024","4","CASANARE","15","21","0","2","0","2","3","0","0","0"
"2.024","4","CAUCA","57","25","0","1","0","1","0","0","0","0"
"2.024","4","CESAR","53","48","0","4","0","0","0","0","0","0"
"2.024","4","CHOCÓ","3","8","0","0","0","0","0","0","0","0"
"2.024","4","CÓRDOBA","91","39","0","17","0","3","3","0","0","0"
"2.024","4","CUNDINAMARCA","95","71","12","11","0","6","9","3","1","0"
"2.024","4","GUAINÍA","1","0","0","0","0","0","0","0","0","0"
"2.024","4","GUAVIARE","0","2","0","2","0","0","0","0","0","0"
"2.024","4","HUILA","47","53","0","7","0","1","7","0","0","0"
"2.024","4","LA GUAJIRA","11","8","0","0","0","0","0","0","0","0"
"2.024","4","MAGDALENA","45","15","0","1","0","0","0","0","1","0"
"2.024","4","META","80","47","2","0","0","9","3","0","0","0"
"2.024","4","NARIÑO","39","26","0","1","0","2","1","0","0","0"
"2.024","4","NORTE DE SANTANDER","73","41","1","5","0","3","3","0","1","0"
"2.024","4","PUTUMAYO","6","10","1","4","0","0","0","0","0","0"
"2.024","4","QUINDIO","37","18","2","1","0","3","4","0","0","0"
"2.024","4","RISARALDA","52","16","0","4","0","4","2","1","0","0"
"2.024","4","SANTANDER","93","55","1","12","0","6","3","2","0","0"
"2.024","4","SUCRE","70","13","0","35","0","0","1","0","1","0"
"2.024","4","TOLIMA","75","122","4","3","0","9","21","1","1","0"
"2.024","4","VALLE DEL CAUCA","121","68","5","16","0","5","9","4","1","0"
"2.024","4","VICHADA","0","1","0","0","0","0","0","0","0","0"
"2.025","1","ANTIOQUIA","122","52","1","4","0","10","3","1","0","0"
"2.025","1","ARAUCA","0","3","0","0","0","0","0","0","0","0"
"2.025","1","ATLÁNTICO","86","26","1","17","0","5","2","0","1","0"
"2.025","1","BOGOTÁ, D.C.","157","49","27","11","0","29","29","15","2","0"
"2.025","1","BOLÍVAR","33","6","0","28","0","2","1","0","7","0"
"2.025","1","BOYACÁ","52","25","2","3","0","7","11","0","0","0"
"2.025","1","CALDAS","35","2","4","0","0","2","0","1","0","0"
"2.025","1","CAQUETÁ","9","25","0","0","0","0","0","0","0","0"
"2.025","1","CASANARE","8","20","0","2","0","1","0","0","0","0"
"2.025","1","CAUCA","25","21","0","0","0","2","1","0","0","0"
"2.025","1","CESAR","25","36","0","2","0","0","0","0","0","0"
"2.025","1","CHOCÓ","9","2","0","0","0","0","0","0","0","0"
"2.025","1","CÓRDOBA","54","35","1","14","0","2","3","0","0","0"
"2.025","1","CUNDINAMARCA","64","45","6","8","0","7","6","6","0","0"
"2.025","1","GUAINÍA","1","0","0","0","0","0","0","0","0","0"
"2.025","1","GUAVIARE","1","1","0","0","0","0","0","0","0","0"
"2.025","1","HUILA","38","37","2","1","0","3","5","0","0","0"
"2.025","1","LA GUAJIRA","6","10","0","0","0","0","0","0","0","0"
"2.025","1","MAGDALENA","30","12","0","1","0","1","2","0","0","0"
"2.025","1","META","66","34","7","2","0","7","3","0","0","0"
"2.025","1","NARIÑO","24","15","0","3","0","2","1","0","0","0"
"2.025","1","NORTE DE SANTANDER","56","28","1","1","0","2","1","1","0","0"
"2.025","1","PUTUMAYO","3","8","0","0","0","0","1","0","0","0"
"2.025","1","QUINDIO","27","6","1","3","0","1","1","0","0","0"
"2.025","1","RISARALDA","32","10","0","8","0","3","0","0","0","0"
"2.025","1","SANTANDER","78","42","0","9","0","3","6","3","1","0"
"2.025","1","SUCRE","34","8","0","17","0","0","0","0","0","0"
"2.025","1","TOLIMA","73","56","2","3","0","10","13","1","0","0"
"2.025","1","VALLE DEL CAUCA","121","43","5","12","0","7","5","3","3","0"
"2.025","1","VICHADA","0","1","0","0","0","0","0","0","0","0"
"2.025","2","ANTIOQUIA","110","95","0","2","0","4","4","1","0","0"
"2.025","2","ARAUCA","2","2","0","0","0","0","0","0","0","0"
"2.025","2","ATLÁNTICO","82","24","4","16","0","1","1","2","2","0"
"2.025","2","BOGOTÁ, D.C.","128","44","16","4","0","31","36","11","5","0"
"2.025","2","BOLÍVAR","43","5","0","43","0","1","0","0","2","0"
"2.025","2","BOYACÁ","59","36","1","2","0","4","10","1","1","0"
"2.025","2","CALDAS","51","10","3","1","0","5","1","0","0","0"
"2.025","2","CAQUETÁ","11","46","0","0","0","0","2","0","0","0"
"2.025","2","CASANARE","11","15","0","0","0","0","0","0","0","0"
"2.025","2","CAUCA","31","24","0","0","0","1","1","2","0","0"
"2.025","2","CESAR","20","32","0","0","0","2","1","0","0","0"
"2.025","2","CHOCÓ","11","2","0","0","0","0","0","0","0","0"
"2.025","2","CÓRDOBA","57","42","0","23","0","0","0","0","0","0"
"2.025","2","CUNDINAMARCA","71","54","10","10","0","7","9","3","1","0"
"2.025","2","GUAINÍA","1","0","0","0","0","0","0","0","0","0"
"2.025","2","GUAVIARE","4","2","0","0","0","0","0","0","0","0"
"2.025","2","HUILA","39","52","0","3","0","3","5","0","0","0"
"2.025","2","LA GUAJIRA","9","1","0","0","0","0","0","0","0","0"
"2.025","2","MAGDALENA","24","20","0","3","0","2","1","0","0","0"
"2.025","2","META","58","41","4","1","0","3","7","1","3","0"
"2.025","2","NARIÑO","30","17","1","0","0","2","2","0","0","0"
"2.025","2","NORTE DE SANTANDER","57","38","0","3","0","6","5","0","0","0"
"2.025","2","PUTUMAYO","8","17","0","2","0","0","0","0","0","0"
"2.025","2","QUINDIO","29","15","0","1","0","1","3","0","0","0"
"2.025","2","RISARALDA","38","17","0","0","0","4","2","0","0","0"
"2.025","2","SANTANDER","62","44","1","5","0","2","6","1","1","0"
"2.025","2","SUCRE","48","8","0","25","0","1","0","0","0","0"
"2.025","2","TOLIMA","72","65","3","3","0","4","11","0","0","0"
"2.025","2","VALLE DEL CAUCA","137","58","3","6","0","6","10","2","1","0"
"2.025","3","AMAZONAS","1","0","0","0","0","0","0","0","0","0"
"2.025","3","ANTIOQUIA","101","72","1","4","0","6","5","1","0","0"
"2.025","3","ARAUCA","1","0","0","1","0","0","0","0","0","0"
"2.025","3","ATLÁNTICO","70","20","2","21","0","3","0","0","1","0"
"2.025","3","BOGOTÁ, D.C.","108","57","16","10","0","27","19","11","8","0"
"2.025","3","BOLÍVAR","38","8","1","30","0","2","0","0","4","0"
"2.025","3","BOYACÁ","48","35","2","2","0","7","2","0","0","0"
"2.025","3","CALDAS","30","8","3","2","0","3","1","0","0","0"
"2.025","3","CAQUETÁ","5","28","0","1","0","0","0","0","0","0"
"2.025","3","CASANARE","7","14","1","1","0","0","0","0","1","0"
"2.025","3","CAUCA","25","31","1","2","0","2","0","0","0","0"
"2.025","3","CESAR","18","30","0","2","0","2","2","0","0","0"
"2.025","3","CHOCÓ","5","3","0","0","0","0","0","0","0","0"
"2.025","3","CÓRDOBA","47","44","0","18","0","1","2","0","0","0"
"2.025","3","CUNDINAMARCA","70","51","11","13","0","5","4","5","1","0"
"2.025","3","GUAVIARE","3","2","0","0","0","0","0","0","0","0"
"2.025","3","HUILA","31","44","0","4","0","2","3","0","1","0"
"2.025","3","LA GUAJIRA","5","9","0","0","0","0","0","0","0","0"
"2.025","3","MAGDALENA","24","18","0","1","0","2","1","0","0","0"
"2.025","3","META","39","32","3","2","0","3","6","3","1","0"
"2.025","3","NARIÑO","34","19","0","1","0","4","2","0","0","0"
"2.025","3","NORTE DE SANTANDER","45","36","0","1","0","4","1","1","1","0"
"2.025","3","PUTUMAYO","5","6","0","0","0","0","0","0","0","0"
"2.025","3","QUINDIO","15","25","0","0","0","3","1","1","0","0"
"2.025","3","RISARALDA","31","13","1","1","0","1","2","0","1","0"
"2.025","3","SANTANDER","54","35","0","5","0","5","5","0","3","0"
"2.025","3","SUCRE","34","11","0","14","0","0","1","0","0","0"
"2.025","3","TOLIMA","51","86","1","1","0","2","11","2","1","0"
"2.025","3","VALLE DEL CAUCA","86","41","3","5","0","3","7","4","2","0"
"2.025","4","AMAZONAS","1","0","0","1","0","0","0","0","0","0"
"2.025","4","ANTIOQUIA","91","64","5","3","0","1","2","3","1","0"
"2.025","4","ATLÁNTICO","58","21","5","19","0","4","0","1","2","0"
"2.025","4","BOGOTÁ, D.C.","118","38","11","13","0","23","30","10","1","0"
"2.025","4","BOLÍVAR","28","6","0","42","0","1","0","1","6","0"
"2.025","4","BOYACÁ","33","34","2","5","0","2","1","0","0","0"
"2.025","4","CALDAS","23","6","1","1","0","3","1","1","0","0"
"2.025","4","CAQUETÁ","3","23","0","0","0","0","0","0","0","0"
"2.025","4","CASANARE","11","21","2","0","0","0","1","0","0","0"
"2.025","4","CAUCA","21","31","0","1","0","0","0","0","0","0"
"2.025","4","CESAR","14","41","0","0","0","0","1","0","0","0"
"2.025","4","CHOCÓ","3","7","0","0","0","0","0","0","0","0"
"2.025","4","CÓRDOBA","36","23","0","13","0","0","2","0","0","0"
"2.025","4","CUNDINAMARCA","51","57","8","8","0","3","7","1","0","0"
"2.025","4","GUAINÍA","1","1","0","0","0","0","0","0","0","0"
"2.025","4","GUAVIARE","1","0","0","0","0","0","0","0","0","0"
"2.025","4","HUILA","19","60","2","2","0","1","4","0","0","0"
"2.025","4","LA GUAJIRA","3","6","0","0","0","0","0","0","0","0"
"2.025","4","MAGDALENA","25","14","1","6","0","2","1","0","0","0"
"2.025","4","META","28","36","6","3","0","1","6","2","1","0"
"2.025","4","NARIÑO","21","22","0","1","0","0","1","0","0","0"
"2.025","4","NORTE DE SANTANDER","35","30","0","2","0","3","1","0","0","0"
"2.025","4","PUTUMAYO","2","9","0","3","0","0","0","0","0","0"
"2.025","4","QUINDIO","23","16","0","0","0","0","1","0","0","0"
"2.025","4","RISARALDA","27","14","1","3","0","3","0","0","0","0"
"2.025","4","SANTANDER","57","37","1","11","0","2","7","1","0","0"
"2.025","4","SUCRE","19","4","0","23","0","0","0","0","0","0"
"2.025","4","TOLIMA","38","72","4","7","0","7","6","0","0","0"
"2.025","4","VALLE DEL CAUCA","81","60","4","12","0","1","5","2","1","0"
"2.025","4","VICHADA","2","1","0","1","0","0","0","0","0","0"
